Episode_ID,Season,Episode,Rating,Votes
933,1,933,8.9,3031
934,1,934,9.4,4703
935,1,935,8.1,1438
936,1,936,7.9,1353
937,1,937,7.7,1301
938,1,938,7.6,1172
939,1,939,8.8,2684
940,1,940,9.4,4669
941,1,941,9.2,3162
942,1,942,8.9,2830
943,1,943,8.6,2059
944,1,944,7.8,1382
945,1,945,8.6,2159
946,1,946,7.7,1344
947,1,947,7.6,1328
948,1,948,7.7,1361
949,1,949,9.1,3182
950,1,950,8.9,2980
951,1,951,8.2,1956
952,1,952,8.7,2267
953,1,953,8.6,2354
954,1,954,8.5,2237
955,1,955,8.2,2124
956,1,956,9.0,3478
957,1,957,9.6,13445
958,1,958,9.6,10343
959,1,959,9.0,5194
960,1,960,8.9,5472
961,1,961,8.9,5010
962,1,962,9.2,5557
963,1,963,9.4,6914
964,1,964,9.2,5322
965,1,965,9.6,14469
966,1,966,9.5,8250
967,1,967,9.5,7774
968,1,968,9.6,32147
969,1,969,9.4,6876
970,1,970,9.1,4831
971,1,971,9.2,4814
972,1,972,9.5,8609
973,1,973,9.4,5923
974,1,974,9.7,14853
975,1,975,9.4,5670
976,1,976,9.2,4851
977,1,977,9.5,7061
978,1,978,9.5,7473
979,1,979,9.0,4465
980,1,980,9.1,4253
981,1,981,9.1,4583
982,1,982,9.6,18671
983,1,983,8.4,3105
984,1,984,7.5,2549
985,1,985,7.8,2348
986,1,986,7.6,2215
987,1,987,8.0,2465
988,1,988,8.8,3480
989,1,989,8.2,2501
990,1,990,8.9,3557
991,1,991,7.9,2418
992,1,992,8.9,3624
993,1,993,7.8,2291
994,1,994,9.0,4144
995,1,995,9.6,8361
996,1,996,9.2,4164
997,1,997,8.9,3755
998,1,998,8.9,3735
999,1,999,8.2,2676
1000,1,1000,9.5,8128
1001,1,1001,8.9,4174
1002,1,1002,7.7,2654
1003,1,1003,8.3,3420
1004,1,1004,8.8,4875
1005,1,1005,6.7,6301
1006,1,1006,6.8,5254
1007,1,1007,6.6,4031
1008,1,1008,7.3,3565
1009,1,1009,7.1,3142
1010,1,1010,8.1,2888
1011,1,1011,7.7,2470
1012,1,1012,7.6,2408
1013,1,1013,8.9,3926
1014,1,1014,8.4,3315
1015,1,1015,9.7,88003
1016,1,1016,9.3,6535
1017,1,1017,9.6,22492
1018,1,1018,9.0,4625
1019,1,1019,7.7,2091
1020,1,1020,7.6,2182
1021,1,1021,7.7,2097
1022,1,1022,7.8,1843
1023,1,1023,7.5,1760
1024,1,1024,7.7,1850
1025,1,1025,9.0,3983
1026,1,1026,9.5,6569
1027,1,1027,9.6,7389
1028,1,1028,9.7,11020
1029,1,1029,7.0,1707
1030,1,1030,7.5,1616
1031,1,1031,7.8,1794
1032,1,1032,7.6,1725
1033,1,1033,9.6,8830
1034,1,1034,7.7,1685
1035,1,1035,7.7,1690
1036,1,1036,9.0,3757
1037,1,1037,7.3,1626
1038,1,1038,8.3,2119
1039,1,1039,7.7,1773
1040,1,1040,8.4,2061
1041,1,1041,7.2,1648
1042,1,1042,7.1,1754
1043,1,1043,8.1,1948
1044,1,1044,9.4,5008
1045,1,1045,9.1,3768
1046,1,1046,9.4,8987
1047,1,1047,7.8,3930
1048,1,1048,9.1,6463
1049,1,1049,9.4,8809
1050,1,1050,8.2,3700
1051,1,1051,9.2,6598
1052,1,1052,8.1,3360
1053,1,1053,8.0,3953
1054,1,1054,8.9,3806
1055,1,1055,7.4,3115
1056,1,1056,8.8,3795
1057,1,1057,8.6,3777
1058,1,1058,7.6,3129
1059,1,1059,8.3,3929
1060,1,1060,9.2,7749
1061,1,1061,9.6,32536
1062,1,1062,9.7,102327
1063,1,1063,8.2,5118
1064,1,1064,8.8,5341
1065,1,1065,8.4,4820
1066,1,1066,9.6,17655
